country,code,year,death_rate,alcohol_cons,hepatitisB_value,log_death_rate,log_alcohol_cons,log_hepatitisB
Spain,ESP,2002,5.8700767,11.48,637,1.769867700194163,2.4406063908914204,6.456769655572163
Spain,ESP,2003,5.625926,11.25,623,1.7273855567639549,2.4203681286504293,6.434546518787453
Spain,ESP,2004,5.581845,11.71,610.4,1.719519366903445,2.460443177609626,6.414114479970247
Spain,ESP,2005,5.3710356,11.95,603.6,1.6810207390897751,2.4807312783775197,6.402911726893694
Spain,ESP,2006,5.3268147,11.86,598,1.6727534422725925,2.4731713935695794,6.393590753950631
Spain,ESP,2007,5.3333693,11.32,588.7,1.6739831772989326,2.4265710727750367,6.377916716034216
Spain,ESP,2008,5.2763715,10.73,578.1,1.6632386455679877,2.373043556642607,6.3597468640884305
Spain,ESP,2009,5.27054,10.01,568.6,1.6621328240970765,2.303584593327129,6.3431771992169
Spain,ESP,2010,5.381871,9.49,562.8,1.6830360832326199,2.2502386126218363,6.332924325240234
Spain,ESP,2011,5.40777,9,554.7,1.6878368082504558,2.1972245773362196,6.318427427061189
Spain,ESP,2012,5.369717,8.88,540.4,1.68077520694585,2.1838015570040787,6.292309606086044
Spain,ESP,2013,5.417425,8.59,524.2,1.6896206103085514,2.150598735996164,6.261873290889306
Spain,ESP,2014,5.242809,9.19,509.9,1.6568574234017435,2.2181159363675955,6.23421462806111
Spain,ESP,2015,5.2201467,9.94,501.8,1.6525255049479286,2.2965670206684825,6.218201633932322
Spain,ESP,2016,5.0509567,10.93,492.4,1.619577670889282,2.391511302188447,6.199291394310299
Spain,ESP,2017,5.151007,10.93,476.8,1.63919222954195,2.391511302188447,6.16709711575114
Spain,ESP,2018,5.041847,10.91,460.9,1.6177724832041558,2.3896797998449792,6.133181099726462
Spain,ESP,2019,4.9553194,10.91,450.6,1.6004616258457571,2.3896797998449792,6.110580027998144
Canada,CAN,2002,3.091268,9.45,483,1.1285813627237176,2.2460147415056513,6.180016653652572
Canada,CAN,2003,3.1618516,9.5,473.9,1.1511578053646088,2.2512917986064953,6.1609963289735425
Canada,CAN,2004,3.1160188,9.6,465.7,1.1365561613664243,2.2617630984737906,6.1435416499883315
Canada,CAN,2005,3.390764,9.75,460.1,1.2210552647322046,2.277267285009756,6.131443857161423
Canada,CAN,2006,3.2808926,9.95,455.7,1.1881155195206135,2.2975725511705014,6.121834698269836
Canada,CAN,2007,3.527131,10.09,450.4,1.2604847926112317,2.3115448343655176,6.110136076825481
Canada,CAN,2008,3.4953632,10.18,444.6,1.251437290172027,2.3204250111223765,6.097175001530096
Canada,CAN,2009,3.482046,10.23,439.2,1.2476200520571272,2.325324579963535,6.084954890195321
Canada,CAN,2010,3.6301079,10.21,434.8,1.289262372352901,2.3233676321765744,6.0748861552470546
Canada,CAN,2011,3.8500159,10.17,429.7,1.3480772781612949,2.3194422100604686,6.063087290780949
Canada,CAN,2012,4.1575494,10.1,422.4,1.4249258141550631,2.3125354238472138,6.045952732392052
Canada,CAN,2013,4.2947545,10.05,414.2,1.4573943943147765,2.307572634505085,6.026348948961484
Canada,CAN,2014,4.195895,9.95,406.5,1.4341066663887283,2.2975725511705014,6.007583928987866
Canada,CAN,2015,4.381956,9.92,400.7,1.477495200045729,2.2945529212967815,5.993213017642099
Canada,CAN,2016,4.395652,9.92,397.2,1.4806158705324879,2.2945529212967815,5.984439932171018
Canada,CAN,2017,4.4551187,9.95,394.5,1.4940537047877993,2.2975725511705014,5.977619140285929
Canada,CAN,2018,4.299664,9.9,391.5,1.4585368801115806,2.2925347571405443,5.969985515430857
Canada,CAN,2019,4.320921,9.9,386.9,1.4634685739777573,2.2925347571405443,5.9581662617064675
Argentina,ARG,2002,4.149385,6.17,194.6,1.422960130489889,1.8196988379172965,5.2709461697519044
Argentina,ARG,2003,3.8731475,5.84,192.4,1.3540674839799076,1.7647307968401356,5.259576538231606
Argentina,ARG,2004,3.8620281,5.95,190.3,1.3511924600026386,1.7833912195575383,5.248601774302104
Argentina,ARG,2005,3.8073761,6.17,188.9,1.3369402642202826,1.8196988379172965,5.241217774507464
Argentina,ARG,2006,3.8823519,6.62,187.3,1.3564411297883554,1.890095369948917,5.2327116094500425
Argentina,ARG,2007,3.950219,7,184.8,1.3737710204140967,1.9459101490553132,5.2192741592075835
Argentina,ARG,2008,3.6816154,7.27,182,1.3033516232541447,1.9837562915454279,5.204006687076795
Argentina,ARG,2009,3.4810896,7.44,179.5,1.2473453482280032,2.0068708488450007,5.190175207928333
Argentina,ARG,2010,3.7281246,7.69,177.8,1.3159053190115984,2.0399207835175526,5.180659323079804
Argentina,ARG,2011,3.556288,8.11,176.1,1.2687173042484206,2.0930978681273213,5.17105201550216
Argentina,ARG,2012,3.8418891,8.4,173.5,1.3459641987553694,2.128231705849268,5.156177599386914
Argentina,ARG,2013,3.6142483,8.48,170.7,1.2848838948459251,2.1377104498038118,5.139907629800395
Argentina,ARG,2014,3.5383308,8.63,168.2,1.2636550905188837,2.155244505095337,5.125153747538848
Argentina,ARG,2015,3.7578948,8.57,166.8,1.3238589069858206,2.1482677326096886,5.116795489924646
Argentina,ARG,2016,3.442525,8.6,167.4,1.2362052137584283,2.151762203259462,5.120386158055375
Argentina,ARG,2017,3.6145556,8.34,169.7,1.2849689158271098,2.1210632163706555,5.134032172240181
Argentina,ARG,2018,3.4098873,8.04,172.3,1.2266792408958944,2.0844290831908747,5.149237143533884
Argentina,ARG,2019,3.4139423,8.04,173.8,1.2278677232335262,2.0844290831908747,5.157905212831292
